ID,CPS,CPS.2009,IL.original,IL.2009,,,,
1,ADDAMS,ADDAMS,Addams Elem School,Addams Elem School,,,,
2,AGASSIZ,AGASSIZ,Agassiz Elem School,Agassiz Elem School,,,,
3,ALCOTT ES,ALCOTT,Alcott Elem School,Alcott Elem School,,,,
4,ALDRIDGE,ALDRIDGE,Aldridge Elem School,Aldridge Elem School,,,,
5,ARMOUR,ARMOUR,Armour Elem School,Armour Elem School,,,,
6,"ARMSTRONG, G",ARMSTRONG G,Armstrong G Elem IntL Studies,"Armstrong, G Elem Intl Studies",,,,
7,ASHE,ASHE,Ashe Elem School,Ashe Elem School,,,,
8,AUDUBON,AUDUBON,Audubon Elem School,Audubon Elem School,,,,
9,AVALON PARK,AVALON PARK,Avalon Park Elem School,Avalon Park Elem School,,,,
10,AZUELA,AZUELA,Azuela Elem School,Azuela Elem School,,,,
11,BARNARD,BARNARD,Barnard Elem Comp Math & Sci Ctr,Barnard Elem Comp Math & Sci Ctr,,,,
12,BARRY,BARRY,Barry Elem School,Barry Elem School,,,,
13,BARTON,BARTON,Barton Elem School,Barton Elem School,,,,
14,BASS,BASS,Bass Elem School,Bass Elem School,,,,
15,BATEMAN,BATEMAN,Bateman Elem School,Bateman Elem School,,,,
16,BEAUBIEN,BEAUBIEN,Beaubien Elem School,Beaubien Elem School,,,,
17,BEETHOVEN,BEETHOVEN,Beethoven Elem School,Beethoven Elem School,,,,
18,BEIDLER,BEIDLER,Beidler Elem School,Beidler Elem School,,,,
19,BELDING,BELDING,Belding Elem School,Belding Elem School,,,,
20,BELL,BELL,Bell Elem School,Bell Elem School,,,,
21,BENNETT,BENNETT,Bennett Elem School,Bennett Elem School,,,,
22,BLAINE,BLAINE,Blaine Elem School,Blaine Elem School,,,,
23,BOND,BOND,Bond Elem School,Bond Elem School,,,,
24,BOONE,BOONE,Boone Elem School,Boone Elem School,,,,
25,BOUCHET,BOUCHET ACADEMY,Bouchet Elem Math & Science Acad,Bouchet Elem Math & Science Acad,,,,
26,BRADWELL,BRADWELL,Bradwell Comm Arts & Sci Elem Sch,Bradwell Comm Arts & Sci Elem Sch,,,,
27,BRENNEMANN,BRENNEMANN,Brennemann Elem School,Brennemann Elem School,,,,
28,BRENTANO,BRENTANO,Brentano Elem Math & Science Acad,Brentano Elem Math & Science Acad,,,,
29,BRIDGE,BRIDGE REGULAR,Bridge Elem School,Bridge Elem School,,,,
30,BRIGHT,BRIGHT,Bright Elem School,Bright Elem School,,,,
31,BRIGHTON PARK,BRIGHTON PARK,Brighton Park Elem School,Brighton Park Elem School,,,,
32,"BROWN, R",BROWN,Brown R Elem Community Acad,"Brown, R Elem Community Acad",,,,
33,BROWNELL,BROWNELL,Brownell Elem School,Brownell Elem School,,,,
34,BRUNSON,BRUNSON,Brunson Math & Sci Specialty Elem,Brunson Math & Sci Specialty Elem,,,,
35,BUDLONG,BUDLONG,Budlong Elem School,Budlong Elem School,,,,
36,BURBANK,BURBANK,Burbank Elem School,Burbank Elem School,,,,
37,BURKE,BURKE,Burke Elem School,Burke Elem School,,,,
38,BURLEY,BURLEY,Burley Elem School,Burley Elem School,,,,
39,BURNHAM,BURNHAM,Burnham Elem Inclusive Academy,Burnham Elem Inclusive Academy,,,,
40,BURR,BURR,Burr Elem School,Burr Elem School,,,,
41,BURROUGHS,BURROUGHS,Burroughs Elem School,Burroughs Elem School,,,,
42,BYRNE,BYRNE,Byrne Elem School,Byrne Elem School,,,,
43,CALDWELL,CALDWELL,Caldwell Elem Acad of Math & Sci,Caldwell Elem Acad Of Math & Sci,,,,
44,CALMECA,CALMECA,Calmeca Acad Elem School,Calmeca Acad Elem School,,,,
45,CAMERON,CAMERON,Cameron Elem School,Cameron Elem School,,,,
46,CAMRAS,CAMRAS,Camras Elem School,Camras Elem School,,,,
47,CANTY,CANTY,Canty Elem School,Canty Elem School,,,,
48,CARDENAS,CARDENAS,Cardenas Elem School,Cardenas Elem School,,,,
49,CARNEGIE,CARNEGIE,Carnegie Elem School,Carnegie Elem School,,,,
50,CARROLL,CARROLL,Carroll Elem School,Carroll Elem School,,,,
51,CARSON,CARSON,Carson Elem School,Carson Elem School,,,,
52,CARTER,CARTER,Carter Elem School,Carter Elem School,,,,
53,"CARVER , G",CARVER ELEMENTARY,Carver Primary School,Carver Elementary School,,,,
54,CASALS,CASALS,Casals Elem School,Casals Elem School,,,,
55,CASSELL,CASSELL,Cassell Elem School,Cassell Elem School,,,,
56,CATHER,CATHER,Cather Elem School,Cather Elem School,,,,
57,CHALMERS,CHALMERS,Chalmers Elem Specialty School,Chalmers Elem Specialty School,,,,
58,CHAPPELL,CHAPPELL,Chappell Elem School,Chappell Elem School,,,,
59,CHASE,CHASE,Chase Elem School,Chase Elem School,,,,
60,CHAVEZ,CHAVEZ,Chavez Elem Multicultural Acad Ct,Chavez Elem Multicultural Acad Ct,,,,
61,CHOPIN,CHOPIN,Chopin Elem School,Chopin Elem School,,,,
62,"CLARK, G",CLARK,Clark G R Elem School,Clark G R Elem School,,,,
63,CLAY,CLAY,Clay Elem School,Clay Elem School,,,,
64,CLEVELAND,CLEVLAND,Cleveland Elem School,Cleveland Elem School,,,,
65,CLINTON,CLINTON,Clinton Elem School,Clinton Elem School,,,,
66,CLISSOLD,CLISSOLD,Clissold Elem School,Clissold Elem School,,,,
67,COLEMON,JOHNNIE COLEMON,Colemon J Elem Academy,"Colemon, J Elem Academy",,,,
68,COLES,COLES,Coles Elem Language Academy,Coles Elem Language Academy,,,,
69,COLUMBIA EXPLORERS,COLUMBIA EXPLORERS,Columbia Explorers Elem Academy,Columbia Explorers Elem Academy,,,,
70,COLUMBUS,COLUMBUS,Columbus Elem School,Columbus Elem School,,,,
71,COOK,COOK,Cook Elem School,Cook Elem School,,,,
72,COONLEY,COONLEY,Coonley Elem School,Coonley Elem School,,,,
73,COOPER,COOPER,Cooper Elem Dual Language Academy,Cooper Elem Dual Language Academy,,,,
74,CORKERY,CORKERY,Corkery Elem School,Corkery Elem School,,,,
75,COURTENAY,COURTENAY,Courtenay Elem Language Arts Ctr,Courtenay Elem Language Arts Ctr,,,,
76,CROWN,CROWN COMM ACAD,Crown Elem Comm Acd Fine Arts Ctr,Crown Elem Comm Acd Fine Arts Ctr,,,,
77,CUFFE,CUFFE,Cuffe Math-Sci Tech Elem Academy,Cuffe Math-Sci Tech Elem Academy,,,,
78,CULLEN,CULLEN,Cullen Elem School,Cullen Elem School,,,,
79,CURTIS,CURTIS,Curtis Elem School,Curtis Elem School,,,,
80,DALEY,DALEY ACADEMY,Daley Elem Academy,Daley Elem Academy,,,,
81,DARWIN,DARWIN,Darwin Elem School,Darwin Elem School,,,,
82,"DAVIS, N",DAVIS,Davis N Elem School,"Davis, N Elem School",,,,
83,DAWES,DAWES,Dawes Elem School,Dawes Elem School,,,,
84,DE PRIEST,DE PRIEST,Depriest Elem School,DePriest Elem School,,,,
85,DENEEN,DENEEN,Deneen Elem School,Deneen Elem School,,,,
86,DETT,DETT,Dett Elem School,Dett Elem School,,,,
87,DEVER,DEVER,Dever Elem School,Dever Elem School,,,,
88,DEWEY,DEWEY,Dewey Elem Academy of Fine Arts,Dewey Elem Academy Of Fine Arts,,,,
89,DIEGO,DE DIEGO COMM ACAD,De Diego Elem Community Academy,De Diego Elem Community Academy,,,,
90,DIRKSEN,DIRKSEN,Dirksen Elem School,Dirksen Elem School,,,,
91,DIXON,DIXON,Dixon Elem School,Dixon Elem School,,,,
92,DOOLITTLE,DOOLITTLE,James R Doolittle Academy,Doolittle Elem School,,,,
93,DORE,DORE,Dore Elem School,Dore Elem School,,,,
94,DRAKE,DRAKE,Drake Elem School,Drake Elem School,,,,
95,DUBOIS,DUBOIS,Dubois Elem School,Dubois Elem School,,,,
96,DULLES,DULLES,Dulles Elem School,Dulles Elem School,,,,
97,DUNNE TECH ACAD,DUNNE,Dunne Technology Acad Elem Sch,"Dunne Elem Math, Sci & Tech Acad",,,,
98,DURKIN PARK,DURKIN PARK,Durkin Park Elem School,Durkin Park Elem School,,,,
99,DVORAK TECH ACAD,DVORAK ACAD,Dvorak Technology Acad Elem Sch,Dvorak Elem Specialty Academy,,,,
100,EARHART,EARHART,Earhart Elem Opt for Knowl School,Earhart Elem Opt For Knowl School,,,,
101,EARLE,EARLE,Earle Elem School,Earle Elem School,,,,
102,EBERHART,EBERHART,Eberhart Elem School,Eberhart Elem School,,,,
103,EBINGER,EBINGER,Ebinger Elem School,Ebinger Elem School,,,,
104,EDGEBROOK,EDGEBROOK,Edgebrook Elem School,Edgebrook Elem School,,,,
105,EDISON PARK,EDISON PARK,Edison Park Elem School,Edison Park Elem School,,,,
106,EDWARDS,EDWARDS,Edwards Elem School,Edwards Elem School,,,,
107,ELLINGTON,ELLINGTON,Ellington Elem School,Ellington Elem School,,,,
108,ESMOND,ESMOND,Esmond Elem School,Esmond Elem School,,,,
109,EVERETT,EVERETT,Everett Elem School,Everett Elem School,,,,
110,EVERS,EVERS,Evers Elem School,Evers Elem School,,,,
111,FAIRFIELD,FAIRFIELD ACADEMY,Fairfield Elem Academy,Fairfield Elem Academy,,,,
112,FALCONER,FALCONER,Falconer Elem School,Falconer Elem School,,,,
113,FARADAY,FARADAY,Faraday Elem School,Faraday Elem School,,,,
114,FARNSWORTH,FARNSWORTH,Farnsworth Elem School,Farnsworth Elem School,,,,
115,FERNWOOD,FERNWOOD,Fernwood Elem School,Fernwood Elem School,,,,
116,FINKL,FINKL,Finkl Elem School,Finkl Elem School,,,,
117,FISKE,FISKE,Fiske Elem School,Fiske Elem School,,,,
118,FORT DEARBORN,FORT DEARBORN,Fort Dearborn Elem School,Fort Dearborn Elem School,,,,
119,FOSTER PARK,FOSTER PARK,Foster Park Elem School,Foster Park Elem School,,,,
120,FULLER,FULLER,Fuller Elem School,Fuller Elem School,,,,
121,FULTON,FULTON,Fulton Elem School,Fulton Elem School,,,,
122,FUNSTON,FUNSTON,Funston Elem School,Funston Elem School,,,,
123,GALE,GALE COMM ACAD,Gale Elem Community Academy,Gale Elem Community Academy,,,,
124,GALLISTEL,GALLISTEL,Gallistel Elem Language Academy,Gallistel Elem Language Academy,,,,
125,GARVEY,GARVEY,Garvey M Elem School,"Garvey, M Elem School",,,,
126,GARVY,GARVY,Garvy J Elem School,"Garvy, J Elem School",,,,
127,GILLESPIE,GILLESPIE,Gillespie Elem School,Gillespie Elem School,,,,
128,GOETHE,GEOTHE,Goethe Elem School,Goethe Elem School,,,,
129,GOUDY,GOUDY,Goudy Technology Academy,Goudy Elem School,,,,
130,GRAHAM,GRAHAM,Graham A Elem School,"Graham, A Elem School",,,,
131,"GRAY, W",GRAY,Gray Elem School,Gray Elem School,,,,
132,GREELEY,GREELEY,Greeley Elem School,Greeley Elem School,,,,
133,GREEN,GREEN WENDELL,Green W Elem School,"Green, W Elem School",,,,
134,GREENE,GREENE,Greene N Elem School,"Greene, N Elem School",,,,
135,GREGORY,GREGORY,Gregory Math & Sci Elem Academy,Gregory Math & Sci Elem Academy,,,,
136,GRESHAM,GRESHAM,Gresham Elem School,Gresham Elem School,,,,
137,GRIMES,GRIMES,Grimes Elem School,Grimes Elem School,,,,
138,GRISSOM,GRISSOM,Grissom Elem School,Grissom Elem School,,,,
139,HAINES,HAINES,Haines Elem School,Haines Elem School,,,,
140,HALE,HALE,Hale Elem School,Hale Elem School,,,,
141,HALEY,HALEY,Haley Elem Academy,Haley Elem Academy,,,,
142,HAMILTON,HAMILTON,Hamilton Elem School,Hamilton Elem School,,,,
143,HAMLINE,HAMLINE,Hamline Elem School,Hamline Elem School,,,,
144,HAMMOND,HAMMOND,Hammond Elem School,Hammond Elem School,,,,
145,HAMPTON,HAMPTON,Hampton Elem Fine & Perf Arts Sch,Hampton Elem Fine & Perf Arts Sch,,,,
146,HANSON PARK,HANSON PARK,Hanson Park Elem School,Hanson Park Elem School,,,,
147,HARTE,HARTE,Bret Harte Elem School,Harte Elem School,,,,
148,HARVARD,HARVARD,Harvard Elem School,Harvard Elem School,,,,
149,HAUGAN,HAUGAN,Haugan Elem School,Haugan Elem School,,,,
150,HAY,HAY,Hay Elem Community Academy,Hay Elem Community Academy,,,,
151,HAYT,HAYT,Hayt Elem School,Hayt Elem School,,,,
152,HEALY,HEALY,Healy Elem School,Healy Elem School,,,,
153,HEARST,HEARST,Hearst Elem School,Hearst Elem School,,,,
154,HEDGES,HEDGES,Hedges Elem School,Hedges Elem School,,,,
155,HEFFERAN,HEFFERAN,Hefferan Elem School,Hefferan Elem School,,,,
156,HENDERSON,HENDERSON,Henderson Elem School,Henderson Elem School,,,,
157,HENDRICKS,HENDRICKS,Hendricks Elem Community Academy,Hendricks Elem Community Academy,,,,
158,HENRY,HENRY,Henry Elem School,Henry Elem School,,,,
159,HEROES,HEROES,Ninos Heroes Elem Academic Ctr,Ninos Heroes Elem Academic Ctr,,,,
160,HERZL,HERZL,Herzl Elem School,Herzl Elem School,,,,
161,HIBBARD,HIBBARD,Hibbard Elem School,Hibbard Elem School,,,,
162,HIGGINS,HIGGINS,Higgins Elem Community Academy,Higgins Elem Community Academy,,,,
163,HINTON,HINTON,,Hinton Elem School,,,,
164,HITCH,HITCH,Hitch Elem School,Hitch Elem School,,,,
165,HOLDEN,HOLDEN,Holden Elem School,Holden Elem School,,,,
166,HOLMES,HOLMES,Holmes Elem School,Holmes Elem School,,,,
167,HOWE,HOWE,Howe Elem School,Howe Elem School,,,,
168,HOYNE,HOYNE,Hoyne Elem School,Hoyne Elem School,,,,
169,"HUGHES, C",HUGHES C E,Hughes C Elem School,"Hughes, C Elem School",,,,
170,"HUGHES, L",HUGHES L,Hughes L Elem School,"Hughes, L Elem School",,,,
171,HURLEY,HURLEY,Hurley Elem School,Hurley Elem School,,,,
172,IRVING,IRVING,Irving Elem School,Irving Elem School,,,,
173,"JACKSON, M",JACKSON M,Jackson M Elem School,"Jackson, M Elem School",,,,
174,JAHN,JAHN,Jahn Elem School,Jahn Elem School,,,,
175,JAMIESON,JAMIESON,Jamieson Elem School,Jamieson Elem School,,,,
176,JENSEN,JENSEN,Jensen Elem Scholastic Academy,Jensen Elem Scholastic Academy,,,,
177,JOHNSON,JOHNSON,Johnson Elem School,Johnson Elem School,,,,
178,JOPLIN,JOPLIN,Joplin Elem School,Joplin Elem School,,,,
179,JORDAN,JORDAN,Jordan Elem Community School,Jordan Elem Community School,,,,
180,JUNGMAN,JUNGMAN,Jungman Elem School,Jungman Elem School,,,,
181,KANOON,KANOON,Kanoon Elem Magnet School,Kanoon Elem Magnet School,,,,
182,KELLOGG,KELLOGG,Kellogg Elem School,Kellogg Elem School,,,,
183,KILMER,KILMER,Kilmer Elem School,Kilmer Elem School,,,,
184,KINZIE,KINZIE SCHOOL,Kinzie Elem School,Kinzie Elem School,,,,
185,KIPLING,KIPLING,Kipling Elem School,Kipling Elem School,,,,
186,KOZMINSKI,KOZMINSKI,Kozminski Elem Community Academy,Kozminski Elem Community Academy,,,,
187,LANGFORD,LANGFORD,Langford A Elem School,Langford A Elem School,,,,
188,LARA,LARA,Lara Elem Academy,Lara Elem Academy,,,,
189,LAVIZZO,LAVIZZO,Lavizzo Elem School,Lavizzo Elem School,,,,
190,LAWNDALE,LAWNDALE,Lawndale Elem Community Academy,Lawndale Elem Community Academy,,,,
191,LEE,LEE,Lee Elem School,Lee Elem School,,,,
192,LELAND,LELAND,Leland Elem School,Leland Elem School,,,,
193,LEWIS,LEWIS,Lewis Elem School,Lewis Elem School,,,,
194,LIBBY,LIBBY,Libby Elem School,Libby Elem School,,,,
195,LINCOLN,LINCOLN,Lincoln Elem School,Lincoln Elem School,,,,
196,LITTLE VILLAGE,LITTLE VILLAGE,Little Village Elem School,Little Village Elem School,,,,
197,LLOYD,LLOYD,Lloyd Elem School,Lloyd Elem School,,,,
198,"LOCKE, J",LOCKE REGULAR,Locke J Elem School,"Locke, J Elem School",,,,
199,LOGANDALE,AVONDALE,Avondale - Logandale Elementary School,Logandale Middle School,,,,
200,LORCA,LORCA,Garcia Lorca Elem School,Garcia Lorca Elem School,,,,
201,LOVETT,LOVETT,Lovett Elem School,Lovett Elem School,,,,
202,LOWELL,LOWELL,Lowell Elem School,Lowell Elem School,,,,
203,LOZANO,LOZANO BILINGUAL,Lozano Elem Bilingual & Intl Ctr,Lozano Elem Bilingual & Intl Ctr,,,,
204,LYON,LYON,Lyon Elem School,Lyon Elem School,,,,
